,0
Buchsbaum MS,15.5169875620052
Peuskens H,33.9357474276551
Kesler-West ML,129.628776106824
Andersen AH,47.1075476548382
Smith CD,34.8767581170951
Avison MJ,16.7998893834444
Davis CE,10.0799336300666
Kryscio RJ,10.4438274172643
Blonder LX,77.7772656640944
Indefrey P,17.4191959781831
Steinmetz H,9.94939021599678
Zafiris O,20.4306686460831
Schwab A,7.22661908398957
Markowitsch HJ,8.78490311685938
Cabeza R,41.5888273751644
Perani D,20.8157744990180
Brunelli GA,3.11109062656378
Tettamanti M,13.4664259717753
Scifo P,4.23221227503963
Tecchio F,4.53350101398509
Rossini PM,0.844229800127204
Fazio F,15.1941796741623
Muller RA,28.3222191912115
Pierce K,21.3913948646773
Ambrose JB,12.8348369188064
Allen G,47.0667507534078
Courchesne E,28.8876506347044
Yvert B,69.8299791811242
Crouzeix A,25.1387925052047
Bertrand O,8.13336645837630
Seither-Preisler A,9.04996530187370
Pantev C,17.4913812392289
Ruben J,52.1769403877123
Schwiemann J,18.7836985395764
Deuchert M,19.2015069497818
Meyer R,10.3978566650872
Krause T,10.2976383818625
Curio G,3.15578970160060
Villringer K,1.35916634729523
Kurth R,1.49310918041503
Tobler PN,22.3314862150006
Felblinger J,3.17199248120301
Burki M,1.90319548872180
Nirkko AC,1.14191729323308
Ozdoba C,0.685150375939850
Muri RM,11.2317976563044
Muckli L,14.4252526237445
Stoerig P,48.9243580846634
Olausson H,13.4227261092040
Ha B,8.20175804032661
Duncan GH,13.5153516080653
Morin C,2.95263289451758
Ptito A,14.8786570701574
Ptito M,15.6382167658165
Marchand S,2.99242087247900
Bushnell MC,26.0059931396123
Ferstl EC,33.7000479288834
Maguire EA,49.6944471718684
Vargha-Khadem F,13.6439892934987
Mishkin M,32.4708682862120
Goldstein JM,90.9926556431644
Horton NJ,64.9403484835861
Makris N,33.0340224561848
Kennedy DN,11.7458081851720
Caviness VS Jr,5.33488076167983
Faraone SV,4.60926302901020
Tsuang MT,46.0069980440376
Fagergren E,42.9795918367347
Breiter HC,226.806862687830
Aharon I,76.4800284235047
Kahneman D,44.2377021044730
Dale A,53.0069396252602
Shizgal P,245.402498265094
Vuilleumier P,32.2513394931870
Kaufman J,56.9669117647059
Martin A,44.2178550420830
King RA,19.3566176470588
Charney D,53.7683823529412
Rushworth MF,35.5289790899011
Paus T,21.8219423417799
Sipila PK,77.1428571428571
Hasnain MK,14.0306122448980
Fox PT,7.14468545003957
Woldorff MG,17.6805329510734
Christodoulou C,44.0243169363327
DeLuca J,11.5058713589030
Ricker JH,18.1233509838178
Madigan NK,10.8740105902907
Bly BM,6.71572915192474
Kalnin AJ,5.03930888696086
Liu WC,1.94790523719235
Steffener J,8.71602134675914
Diamond BJ,0.507337838100603
Ni AC,50.3426416217162
Goel V,24.4159520418160
Rossell SL,16.3048436674175
Barch DM,19.8847917173477
Braver TS,28.3516270332766
Conturo T,14.1380236305048
Ollinger J,8.48281417830290
Snyder A,65.4538131041890
Watkins KE,39.4359033943061
Lerch JP,6.94082486060352
Zijdenbos A,18.9047563878306
Collins DL,5.82898193693494
Neelin P,6.80571229961902
Taylor J,41.7245473260397
Leonards U,10.4222610096670
Belin P,39.3436302823403
Kuhtz-Buschbeck JP,62.2437790905836
Solomon J,29.6825121443442
Chowdhury S,34.9444829979181
Sinha P,20.9666897987509
Galati G,12.9975095572834
Committeri G,7.99221049967942
Sanes JN,12.3730585984394
Pizzamiglio L,13.3845067466022
Monchi O,46.0346116443019
Petre V,65.2984038861901
Worsley K,18.8018934517815
Dagher A,32.6880878447035
Bunge SA,81.5711863423371
Ochsner KN,83.4875731010708
Desmond JE,42.6434704116284
Donaldson DI,19.8314859771782
Jessen F,2.68597157943071
Flacke S,1.61105961506416
Granath DO,1.03818575663455
Manka C,1.87598697131305
Scheef L,5.78665834717432
Papassotiropoulos A,4.52000602245174
Schild HH,0.405213185803619
Heun R,7.38511526182068
MacSweeney M,25.5423469852004
Surguladze S,15.2184362015297
Calvert G,8.48881957173804
McGuire P,6.34451993863261
Servos P,28.8075980392157
Lederman S,11.0845588235294
Wilson D,9.69594363595542
Gati J,9.79704829559681
Chein JM,56.0926870748299
Fiez JA,19.9391142178592
